question,file,number
"Write a SQL query that retrieves all columns for every record in the employees table.","basic-select.sql","exercise 1"
"Write a SQL query that returns only the first name, last name, and department of each employee from the employees table.","basic-select.sql","exercise 2"
"Write a SQL query that selects employees’ first names and last names, but displays them using the column names given_name and surname instead.","basic-select.sql","exercise 3"
"Write a SQL query that displays each employee’s first name, last name, monthly salary, and a calculated column showing their annual salary (monthly salary multiplied by 12).","basic-select.sql","exercise 4"
"Write a SQL query that returns a list of unique departments from the employees table, ensuring no duplicates appear in the result.","basic-select.sql","exercise 5"
"Write a SQL query that lists employees’ first names, last names, and departments, sorted by salary from highest to lowest.","basic-select.sql","exercise 6"
"Write a SQL query that retrieves only the first 10 rows from the employees table.","basic-select.sql","exercise 8"
"Write a SQL query that retrieves a list of unique departments from the employees table.","distinct-values.sql","exercise 1"
"Write a SQL query that returns unique combinations of department and job title from the employees table.","distinct-values.sql","exercise 2"
"Write a SQL query that retrieves unique departments from the employees table and sorts them alphabetically.","distinct-values.sql","exercise 3"
"Write a SQL query that returns unique departments for employees located in New York.","distinct-values.sql","exercise 4"
"Write a SQL query that returns unique annual salary values calculated by multiplying salary by 12, sorted from highest to lowest.","distinct-values.sql","exercise 5"
"Write a SQL query that retrieves the first five unique departments from the employees table in alphabetical order.","distinct-values.sql","exercise 6"
"Write a SQL query that retrieves unique departments .","distinct-values.sql","exercise 7"
"Write a SQL query that counts how many unique departments exist in the employees table.","distinct-values.sql","exercise 8"
"Write a SQL query that selects non-duplicated rows from the employees table.","distinct-values.sql","exercise 9"
"Write a SQL query that demonstrates why using DISTINCT on department and salary together does not return unique departments.","distinct-values.sql","exercise 10"
"Write a SQL query that retrieves the first name, last name, and department of employees who work in the Engineering department.","filtering.sql","exercise 1"
"Write a SQL query that retrieves the first name, last name, and salary of employees who work in Engineering and earn more than 70,000.","filtering.sql","exercise 2"
"Write a SQL query that retrieves the first name, last name, and department of employees who work in either HR or Finance.","filtering.sql","exercise 3"
"Write a SQL query that retrieves employees from Sales or Marketing who earn more than 60,000.","filtering.sql","exercise 4"
"Write a SQL query that retrieves employees whose salary falls between 50,000 and 80,000 (inclusive).","filtering.sql","exercise 5"
"Write a SQL query that retrieves employees who work in HR, Finance, or Legal.","filtering.sql","exercise 6"
"Write a SQL query that retrieves employees who do not have a manager assigned.","filtering.sql","exercise 7"
"Write a SQL query that retrieves employees who have a non-null email address.","filtering.sql","exercise 8"
"Write a SQL query that retrieves employees who do not work in the Engineering department.","filtering.sql","exercise 9"
"Write a SQL query that retrieves employees whose first name starts with 'A', whose last name ends with 'son', or whose job title contains the word 'senior'.","filtering.sql","exercise 10"
"Write a SQL query that retrieves employees who were hired on or after January 1, 2020.","filtering.sql","exercise 11"
"Write a SQL query that retrieves employees who are currently active.","filtering.sql","exercise 12"
"Write a SQL query that retrieves employees who do not work in the Sales or Marketing departments.","filtering.sql","exercise 13"
"Write a SQL query that retrieves employees in Engineering earning more than 90,000 or employees in Product earning more than 100,000.","filtering.sql","exercise 14"
"Write a SQL query that retrieves employees’ first names, last names, and salaries sorted in ascending order by salary.","basic-sorting.sql","exercise 1"
"Write a SQL query that retrieves employees’ first names, last names, and salaries sorted explicitly in ascending order by salary.","basic-sorting.sql","exercise 2"
"Write a SQL query that retrieves employees’ first names, last names, and salaries sorted in descending order by salary.","basic-sorting.sql","exercise 3"
"Write a SQL query that retrieves employees’ first names, last names, departments, and salaries, sorted by department alphabetically and then by salary from highest to lowest.","basic-sorting.sql","exercise 4"
"Write a SQL query that sorts employees by salary using the column’s position in the SELECT list rather than the column name.","basic-sorting.sql","exercise 5"
"Write a SQL query that calculates each employee’s annual salary and sorts the results from highest to lowest using the calculated column.","basic-sorting.sql","exercise 6"
"Write a SQL query that retrieves employees’ first names, last names, and bonus amounts, sorting by bonus in descending order and placing NULL values last.","basic-sorting.sql","exercise 7"
"Write a SQL query that retrieves the top five highest-paid employees.","basic-sorting.sql","exercise 8"
"Write a SQL query that retrieves all employees in a random order.","basic-sorting.sql","exercise 9"
"Write a SQL query that returns all employees along with their department names, including employees who are not assigned to any department.","left-join.sql","exercise 1"
"Write a SQL query that performs a LEFT JOIN between the employees and departments tables using table aliases.","left-join.sql","exercise 2"
"Write a SQL query that lists all shipments with their shipment dates and warehouse names, ensuring shipments without a matching warehouse are still included.","left-join.sql","exercise 3"
"Write a SQL query that displays each employee’s first name, department name, and location name, including employees whose department or location is missing.","left-join.sql","exercise 4"
"Write a SQL query that returns employees and their department names, but only for those in the Engineering department, using a WHERE clause.","left-join.sql","exercise 5"
"Write a SQL query that returns all employees and their department names, showing 'Engineering' only when the department matches, while still including employees from other departments or with no department.","left-join.sql","exercise 6"
"Write a SQL query that lists all departments and the number of employees in each department, including departments with zero employees.","left-join.sql","exercise 7"
"Write a SQL query that finds all employees who are not assigned to any department.","left-join.sql","exercise 8"
"Write a SQL query that returns all departments along with their employees’ IDs and first names, including departments that have no employees.","right-join.sql","exercise 1"
"Write a SQL query that performs a RIGHT JOIN between the employees and departments tables using table aliases.","right-join.sql","exercise 2"
"Write a SQL query that lists all warehouses with their shipment IDs and shipment dates, ensuring warehouses without any shipments are still included.","right-join.sql","exercise 3"
"Write a SQL query that displays each location’s name along with its departments and employees, including locations that have no departments or employees.","right-join.sql","exercise 4"
"Write a SQL query that returns departments and their employees where the employee’s last name is 'Smith', using a WHERE clause.","right-join.sql","exercise 5"
"Write a SQL query that returns all departments and their employees, showing employee information only when the last name is 'Smith', while still including departments without matching employees.","right-join.sql","exercise 6"
"Write a SQL query that counts how many departments are associated with each employee, including employees who are not assigned to any department.","right-join.sql","exercise 7"
"Write a SQL query that finds all departments that have no employees assigned to them.","right-join.sql","exercise 8"
"Write a SQL query that returns employee IDs and first names along with their department names, including only employees who belong to a department.","inner-join.sql","exercise 1"
"Write a SQL query that performs an INNER JOIN between the employees and departments tables using table aliases.","inner-join.sql","exercise 2"
"Write a SQL query that lists shipment IDs and shipment dates along with warehouse names, matching records only when both warehouse ID and region code are the same.","inner-join.sql","exercise 3"
"Write a SQL query that displays each employee’s first name, department name, and location name, but only where all three are available.","inner-join.sql","exercise 4"
"Write a SQL query that returns employees’ first and last names along with their department names, but only for employees in the Engineering department.","inner-join.sql","exercise 5"
"Write a SQL query that counts the number of employees in each department, including only departments that have employees.","inner-join.sql","exercise 6"
"Write a SQL query that returns all employees and all departments, showing employee IDs and first names alongside department names where matches exist.","full-join.sql","exercise 1"
"Write a SQL query that returns department IDs and employee counts for departments with more than 5 employees.","having.sql","exercise 1"
"Write a SQL query that returns customer IDs and total spending for customers whose total order amount exceeds 10,000.","having.sql","exercise 2"
"Write a SQL query that returns department IDs and average salaries for departments with an average salary greater than 75,000.","having.sql","exercise 3"
"Write a SQL query that returns department IDs, employee counts, and total salary for departments with more than 10 employees and a total salary budget over 1,000,000.","having.sql","exercise 4"
"Write a SQL query that returns department names and employee counts for departments that have at least 3 employees.","having.sql","exercise 5"
"Write a SQL query that returns department IDs and employee counts for departments that hired more than 2 employees on or after January 1, 2020.","having.sql","exercise 6"
"Write a SQL query that counts the number of employees in each department.","group-by.sql","exercise 1"
"Write a SQL query that groups employees by department and job title and returns the number of employees in each group.","group-by.sql","exercise 2"
"Write a SQL query that returns the average, minimum, and maximum salary for each department.","group-by.sql","exercise 3"
"Write a SQL query that returns only departments with more than 5 employees.","group-by.sql","exercise 4"
"Write a SQL query that groups orders by year and month and returns the total number of orders for each period.","group-by.sql","exercise 5"
"Write a SQL query that returns department names and the number of employees in each department.","group-by.sql","exercise 6"
"Write a SQL query that calculates the total sales amount for each customer.","group-by.sql","exercise 7"
"Write a SQL query that returns the total number of employees.","basic-aggregates.sql","exercise 1"
"Write a SQL query that returns the number of employees who have a department assigned.","basic-aggregates.sql","exercise 2"
"Write a SQL query that calculates the total salary paid to all employees.","basic-aggregates.sql","exercise 3"
"Write a SQL query that returns the average salary of all employees.","basic-aggregates.sql","exercise 4"
"Write a SQL query that returns the lowest salary among all employees.","basic-aggregates.sql","exercise 5"
"Write a SQL query that returns the highest salary among all employees.","basic-aggregates.sql","exercise 6"
"Write a SQL query that returns the number of unique job titles.","basic-aggregates.sql","exercise 7"
"Write a SQL query that returns the average salary for employees in the Engineering department only.","basic-aggregates.sql","exercise 8"
"Write a SQL query that calculates the total compensation for all employees including bonuses.","basic-aggregates.sql","exercise 9"
"Write a SQL query that returns the total number of employees, average salary, minimum salary, and maximum salary.","basic-aggregates.sql","exercise 10"
"Write a SQL query that returns employees who earn more than the average salary of their own department using a correlated subquery.","correlated.sql","exercise 1"
"Write a SQL query that returns employees who belong to a department that has at least one other employee using a correlated subquery with EXISTS.","correlated.sql","exercise 2"
"Write a SQL query that returns employees who are the only employee in their department using a correlated subquery with NOT EXISTS.","correlated.sql","exercise 3"
"Write a SQL query that returns employees who earn the highest salary in their department using a correlated subquery with MAX.","correlated.sql","exercise 4"
"Write a SQL query that returns employees who earn the lowest salary in their department using a correlated subquery with MIN.","correlated.sql","exercise 5"
"Write a SQL query that returns employees who work in departments with more than 5 employees using a correlated subquery with COUNT.","correlated.sql","exercise 6"
"Write a SQL query that returns employees whose salary is above the average salary of all employees hired before them using a correlated subquery.","correlated.sql","exercise 7"
"Write a SQL query that shows each employee along with the average salary of their department using a correlated subquery in the SELECT clause.","correlated.sql","exercise 8"
"Write a SQL query that returns employees who earn more than at least one coworker in the same department using a correlated subquery with EXISTS.","correlated.sql","exercise 9"
"Write a SQL query that returns employees whose salary is higher than their department average and lower than the maximum salary in the company using multiple correlated subqueries.","correlated.sql","exercise 10"
"Write a SQL query that returns employees who earn more than the overall average salary using a non-correlated subquery.","non_correlated.sql","exercise 1"
"Write a SQL query that returns all employees if there exists at least one department with two or more employees using a non-correlated subquery with EXISTS.","non_correlated.sql","exercise 2"
"Write a SQL query that returns all employees only if no department has two or more employees using a non-correlated subquery with NOT EXISTS.","non_correlated.sql","exercise 3"
"Write a SQL query that returns employees who earn the highest salary in the entire company using a non-correlated subquery with MAX.","non_correlated.sql","exercise 4"
"Write a SQL query that returns employees who earn the lowest salary in the entire company using a non-correlated subquery with MIN.","non_correlated.sql","exercise 5"
"Write a SQL query that returns employees who work in departments with more than five employees using a non-correlated subquery with IN and COUNT.","non_correlated.sql","exercise 6"
